folio,ano,fondo,region_excel,estado_sira,razon_social,nombre_fantasia,rut,tipo_entidad,fecha_suscripcion,modalidad,tipo_convenio,alcance,cuotas_declaradas,tipo_garantia,monto_garantia,toma_razon,estados_financieros,socios_beneficiarios,url,error,timestamp
57881,2022,FFOIP,VALPARAÍSO,Borrador,CUERPO DE BOMBEROS DE SANTA MARIA,BOMBEROS DE SANTA MARIA,81592000-7,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.396.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=57881#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/57881,,2026-05-19 12:28:41
58426,2022,FFOIP,VALPARAÍSO,Borrador,JUNTA DE VECINOS TORRES DE MESANA,,65036869-K,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.778.770,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58426#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58426,,2026-05-19 12:28:45
58629,2022,FFOIP,VALPARAÍSO,Borrador,CENTRO CULTURAL PLACILLA,,65575410-5,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.236.970,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58629#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58629,,2026-05-19 12:28:51
58645,2022,FFOIP,VALPARAÍSO,Borrador,JUNTA DE VECINOS VILLA JARDINES DE LOS ANDES,,65911010-5,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.042.957,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58645#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58645,,2026-05-19 12:28:54
58657,2022,FFOIP,VALPARAÍSO,Borrador,AGRUPACIÓN DE ORGANIZACIONES COMUNITARIAS Y SOCIALES DE PEÑABLANCA,AGRUPACIÓN DE ORGANIZACIONES COMUNITARIAS Y SOCIALES DE PEÑABLANCA,65031443-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.676.894,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58657#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58657,,2026-05-19 12:28:58
58670,2022,FFOIP,VALPARAÍSO,Borrador,CONSEJO CONSULTIVO DE USUARIOS DEL HOSPITAL DE QUILPUÉ,,65105767-1,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.420.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58670#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58670,,2026-05-19 12:29:01
58969,2022,FFOIP,VALPARAÍSO,Borrador,ASOCIACION DE PADRES Y AMIGOS DE LOS AUTISTAS V REGIÓN,ASPAUT V REGIÓN,71578700-8,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.799.875,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=58969#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/58969,,2026-05-19 12:29:07
59118,2022,FFOIP,VALPARAÍSO,Borrador,FUNDACIÓN MUJERES MARIPOSAS,,65200246-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59118#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59118,,2026-05-19 12:29:12
59145,2022,FFOIP,VALPARAÍSO,Borrador,CORPORACIÓN MAYOR VIDA,CORPORACIÓN MAYOR VIDA,65178397-6,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.236.950,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59145#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59145,,2026-05-19 12:29:16
59559,2022,FFOIP,VALPARAÍSO,Borrador,FUNDACIÓN TRAMA RURAL,,53334653-7,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59559#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59559,,2026-05-19 12:29:19
59624,2022,FFOIP,VALPARAÍSO,Borrador,CLUB DEPORTIVO SOCIAL Y CULTURAL WILSON,CLUB WILSON,65201917-K,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.764.810,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59624#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59624,,2026-05-19 12:29:23
59748,2022,FFOIP,VALPARAÍSO,Borrador,JUNTA DE ADELANTO CONDOMINIO CAMPO MAR 4,,65038940-9,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,21 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$165.849,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59748#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59748,,2026-05-19 12:29:27
56099,2022,FFOIP,VALPARAÍSO,Borrador,CLUB DEPORTIVO ESCOLAR ST. MARGARET'S SPORT'S CLUB,,65450220-K,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.566.995,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56099#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56099,,2026-05-19 12:29:31
56385,2022,FFOIP,VALPARAÍSO,Borrador,FUNDACION MINGA VALPO,MINGA VALPO,65091062-1,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.800.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56385#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56385,,2026-05-19 12:29:34
56903,2022,FFOIP,VALPARAÍSO,Borrador,JUNTA DE VECINOS SANTA REGINA,SANTA REGINA,72681500-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$902.647,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=56903#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/56903,,2026-05-19 12:29:40
57689,2022,FFOIP,VALPARAÍSO,Borrador,ORGANIZACION NO GUBERNAMENTAL CENTRO DE DESARROLLO RAPA NUI TOKI,ESCUELA TOKI RAPA NUI,65075191-4,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.777.856,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=57689#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/57689,,2026-05-19 12:29:43
59111,2022,FFOIP,VALPARAÍSO,Borrador,CENTRO REGIONAL DE INVESTIGACION E INNOVACION PARA LA SOSTENIBILIDAD DE LA AGRICULTURA Y LOS TERRITO,CENTRO CERES,65182552-0,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$176.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59111#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59111,,2026-05-19 12:29:47
59280,2022,FFOIP,VALPARAÍSO,Borrador,CORPORACIÓN ONG DE DESARROLLO COMUNIDAD LA ESCUELA IMAGINARIA,ONG DE DESARROLLO COMUNIDAD LA ESCUELA IMAGINARIA,65167392-5,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,26 de julio de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,COMUNAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$1.772.500,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=59280#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/59280,,2026-05-19 12:29:55
55767,2022,FFOIP,VALPARAÍSO,Borrador,FUNDACIÓN SOMOS,FUNDACIÓN SOMOS,65205189-8,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,18 de agosto de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.454.300,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=55767#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/55767,,2026-05-19 12:29:59
54870,2022,FFOIP,VALPARAÍSO,Borrador,CENTRO JUVENIL JUVENTUD FUTURO,JUVENTUD FUTURO,65109980-3,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,07 de septiembre de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.400.000,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=54870#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/54870,,2026-05-19 12:30:03
54929,2022,FFOIP,VALPARAÍSO,Borrador,CENTRO CULTURAL COMPAÑÍA TEATRO CONFÍN.,TEATRO CONFÍN.,65125464-7,PERSONA JURÍDICA DE DERECHO PRIVADO SIN FINES DE LUCRO,07 de septiembre de 2022,CONCURSO PÚBLICO / FONDO CONCURSABLE,CONVENIO DE TRANSFERENCIA CORRIENTE A ENTIDAD PRIVADA BENEFICIARIA,REGIONAL,1,FIEL CUMPLIMIENTO DEL CONVENIO,$2.143.649,—,NO APLICA,Socios: SI · Beneficiarios: NO,https://sira.auditoriainternadegobierno.gob.cl/?q=54929#/convenio/SECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/SUBSECRETAR%C3%8DA%20GENERAL%20DE%20GOBIERNO/54929,,2026-05-19 12:30:07
